BJD,RV,e_RV,FWHM,BIS,System,TIC,GaiaDR2
2457873.61263167,22975.8578276004,1.5960377041519,0.0022571381672705,0.0022571381672705,K2-229,98720809,3583630929786305280
2457873.55099118,22974.1566347014,1.7959124422336,0.0025398037326413,0.0025398037326413,K2-229,98720809,3583630929786305280
2457872.6810564,22963.8594475032,1.851665588443,0.0026186505881557,0.0026186505881557,K2-229,98720809,3583630929786305280
2457872.61136065,22961.8080404798,2.0282227575595,0.0028683401312544,0.0028683401312544,K2-229,98720809,3583630929786305280
2457872.51968676,22967.3876144677,1.7164619712635,0.0024274437990585,0.0024274437990585,K2-229,98720809,3583630929786305280
2457865.73338885,22979.0075065733,1.3588531736904002,0.0019217085875067,0.0019217085875067,K2-229,98720809,3583630929786305280
2457865.5661844,22985.586337992798,1.4888940023066,0.0021056140909979,0.0021056140909979,K2-229,98720809,3583630929786305280
2457864.54050387,22985.2810667342,1.5124152499497001,0.0021388781584188,0.0021388781584188,K2-229,98720809,3583630929786305280
2457862.6492947,22993.3068348985,2.0538709611551003,0.0029046121686298,0.0029046121686298,K2-229,98720809,3583630929786305280
2457859.59923541,22997.4620978244,1.7255884416275,0.0024403505772239,0.0024403505772239,K2-229,98720809,3583630929786305280
2457855.79070543,22978.1694087871,1.5618096142848001,0.0022087323383663,0.0022087323383663,K2-229,98720809,3583630929786305280
2457855.57138134,22984.5021297973,1.4141083379626,0.0019998511902117,0.0019998511902117,K2-229,98720809,3583630929786305280
2457854.78599213,22969.9975561584,2.1602439180934,0.0030550462470017,0.0030550462470017,K2-229,98720809,3583630929786305280
2457854.63054377,22975.725098155403,1.5561977876054,0.0022007960169666,0.0022007960169666,K2-229,98720809,3583630929786305280
2457852.74424625,22960.869069844597,2.0740053401347,0.0029330864804527,0.0029330864804527,K2-229,98720809,3583630929786305280
2457852.579735,22960.6547830044,1.9490720356772,0.0027564041068968,0.0027564041068968,K2-229,98720809,3583630929786305280
2457851.76545343,22958.5730724055,1.7701163116635001,0.0025033224949324,0.0025033224949324,K2-229,98720809,3583630929786305280
2457851.64010802,22961.121248474003,1.7743797132751,0.0025093518553134,0.0025093518553134,K2-229,98720809,3583630929786305280
2457850.77648553,22962.5353756279,1.5754427246564,0.0022280124679512,0.0022280124679512,K2-229,98720809,3583630929786305280
2457850.65301489,22956.651192319503,1.5303414018947,0.0021642295656205,0.0021642295656205,K2-229,98720809,3583630929786305280
2457849.8156291,22963.3639342069,1.6001477878900001,0.0022629507034353,0.0022629507034353,K2-229,98720809,3583630929786305280
